"id","name","purchase_price","selling_price","category_id","shop_type_id","current_stock","created_at","created_by","updated_at","updated_by"
"18","KC 250ML","256","265","4","0","0","2022-09-26 00:00:00","1","2024-01-20 15:29:32","44"
"20","LEMONADE","35.625","37.5","3","0","0","2022-09-26 00:00:00","1","2023-02-20 09:34:06","44"
"25","KIBAO 250ML","213","235","4","0","0","2022-09-26 00:00:00","1","2024-04-13 16:08:51","44"
"26","KC 350ML","318.25","375","5","0","0","2022-09-26 00:00:00","1","2024-02-16 19:04:34","44"
"28","PREDATOR ENERGY","47.5","55","3","0","0","2022-09-26 00:00:00","1","2023-11-11 15:46:24","44"
"32","TUSKER LITE CAN","240","250","2","0","0","2022-09-26 00:00:00","1","2023-09-27 12:17:44","44"
"36","VICEROY 350ML","594","645","5","0","0","2022-09-26 00:00:00","1","2024-02-16 19:06:41","44"
"37","RICHOT 375ML","576","605","5","0","0","2022-09-26 00:00:00","1","2023-04-19 14:37:10","44"
"38","GILBEYS 350ML","576","605","5","0","0","2022-09-26 00:00:00","1","2023-04-19 14:36:43","44"
"40","TUSKER CIDER CAN","232","245","2","0","0","2022-09-26 00:00:00","1","2024-01-20 16:42:09","44"
"46","WHITECAP CAN","215","225","2","0","0","2022-09-26 00:00:00","1","2023-09-09 17:32:51","44"
"49","BLACK ICE CAN","170","180","2","0","0","2022-09-26 00:00:00","1","2024-07-17 19:34:08","44"
"53","GUINESS CAN","215","225","2","0","0","2022-09-26 00:00:00","1","2023-09-09 17:33:14","44"
"59","VAT69 375ML","720","750","5","0","0","2022-09-26 00:00:00","1","2023-04-19 15:02:39","44"
"63","ORIGIN 250ML","232","245","4","0","0","2022-09-26 00:00:00","1","2024-05-15 12:35:54","44"
"65","VICEROY 250ML","430","440","4","0","0","2022-09-26 00:00:00","1","2024-04-03 13:51:46","44"
"70","GUARANA CAN","170","180","2","0","0","2022-09-26 00:00:00","1","2024-07-12 15:04:37","44"
"74","FAXE CAN","245","265","2","0","0","2022-09-26 00:00:00","1","2024-04-13 16:12:30","44"
"76","DROSTOFF RED 750ML","814","900","7","0","0","2022-09-26 00:00:00","1","2023-09-27 12:29:44","44"
"77","SPORTSMAN","247","260","8","0","0","2022-09-26 00:00:00","1","2023-02-20 09:34:06","44"
"78","DUNHILL","345","350","8","0","0","2022-09-26 00:00:00","1","2023-04-27 13:53:25","44"
"79","KONYAGI 500ML","679.25","715","5","0","0","2022-09-26 00:00:00","1","2023-02-20 09:34:06","44"
"80","BLACK & WHITE 375ML","576","605","5","0","0","2022-09-26 00:00:00","1","2023-04-19 14:35:43","44"
"83","REDBULL","184","200","2","0","0","2022-09-26 00:00:00","1","2023-08-26 08:52:28","44"
"93","BALOZI CAN","190","225","2","0","0","2022-09-26 00:00:00","1","2024-01-12 19:29:39","44"
"95","SNAPP CAN","174","178","2","0","0","2022-09-26 00:00:00","1","2023-12-01 16:33:56","44"
"97","TUSKER MALT CAN","237.5","250","2","0","0","2022-09-26 00:00:00","1","2023-02-20 09:34:06","26"
"98","DELMONTE","265","280","3","0","0","2022-09-26 00:00:00","1","2024-03-08 16:45:58","44"
"99","SMIRNOFF VODKA 250ML","416","435","4","0","0","2022-09-27 07:03:24","12","2023-04-19 14:33:37","44"
"100","HUNTERS 350ML","420","450","5","0","0","2022-09-27 13:15:28","12","2023-04-14 12:59:56","44"
"101","SMIRNOFF VODKA 350ML","576","605","5","0","0","2022-09-27 13:15:50","12","2023-04-19 14:38:06","44"
"103","CELLAR CASK RED 750ML","896","980","7","0","0","2022-09-27 13:17:13","12","2023-09-27 12:30:27","44"
"104","4TH STREET WHITE 750ML","870","930","7","0","0","2022-09-27 13:17:41","12","2024-04-06 18:21:36","44"
"105","4TH STREET RED 750ML","870","930","7","0","0","2022-09-27 13:18:06","12","2024-04-06 18:21:18","44"
"106","CAPRICE DRY RED 1L","702","750","7","0","0","2022-09-27 13:18:20","12","2023-09-07 18:27:15","44"
"107","KC 750ML","648","780","6","0","0","2022-09-27 13:18:41","12","2024-02-28 15:13:19","44"
"108","CHROME VODKA 750ML","568","685","6","0","0","2022-09-27 13:19:00","12","2024-01-09 16:39:36","44"
"109","SMIRNOFF VODKA 750ML","1240","1300","6","0","0","2022-09-27 13:19:14","12","2023-04-19 14:27:34","44"
"119","GUINESS SMOOTH CAN","237.5","250","2","0","0","2022-09-27 13:26:50","12","2023-02-20 09:34:06","26"
"120","TUSKER CAN","197","205","2","0","0","2022-09-27 14:53:57","12","2023-11-30 18:27:52","44"
"123","KIBAO 750ML","600","720","6","0","0","2022-09-27 16:17:25","12","2023-09-09 16:17:05","44"
"124","TUSKER LAGER","166.25","177","1","0","0","2022-10-02 12:01:47","26","2023-07-02 16:04:43","44"
"125","TUSKER LITE","185","205","1","0","0","2022-10-02 12:02:06","26","2024-01-09 16:36:42","44"
"128","SMIRNOFF ICE","209","220","1","0","0","2022-10-02 12:03:03","26","2023-02-20 09:34:06",NULL
"129","SNAPP BOTTLE","156","175","1","0","0","2022-10-02 12:03:19","26","2024-02-07 18:17:17","44"
"130","PILSNER","167","175","1","0","0","2022-10-02 12:03:32","26","2023-02-21 12:40:53","44"
"131","GUINESS BOTTLE","202","210","1","0","0","2022-10-02 12:03:49","26","2024-01-08 17:07:53","44"
"132","BALOZI","167.4","177","1","0","0","2022-10-02 12:04:04","26","2023-07-02 16:04:40","44"
"133","WHITECAP LAGER","185","205","1","0","0","2022-10-02 12:04:16","26","2024-01-09 16:36:21","44"
"136","ROCKSHORE","137.75","145","1","0","0","2022-10-02 12:05:07","26","2023-02-20 09:34:06","44"
"141","SMIRNOFF VODKA 1L","1900","2000","6","0","0","2022-10-02 12:18:08","26","2023-02-20 09:34:06","26"
"142","VICEROY 750ML","1186","1270","6","0","0","2022-10-02 12:18:54","26","2024-01-30 19:53:01","44"
"143","RICHOT 750ML","1240","1300","6","0","0","2022-10-02 12:19:09","26","2023-04-19 14:26:50","44"
"144","HUNTERS 750ML","899","950","6","0","0","2022-10-02 12:19:24","26","2023-07-15 18:09:57","44"
"145","COUNTY 750ML","635","700","6","0","0","2022-10-02 12:19:45","26","2023-09-07 18:22:35","44"
"148","GILBEYS GIN 750ML","1240","1300","6","0","0","2022-10-02 12:20:50","26","2023-04-19 14:25:20","44"
"149","VAT69 750ML","1320","1480","6","0","0","2022-10-02 12:21:20","26","2023-07-02 16:15:02","44"
"150","V&A 750ML","720","780","6","0","0","2022-10-02 12:21:59","26","2023-04-19 14:12:32","44"
"152","CHROME GIN 750ML","633.3","685","6","0","0","2022-10-02 12:22:49","26","2024-01-09 16:39:18","44"
"154","GRANT 750ML","1900","2000","6","0","0","2022-10-02 12:24:05","26","2023-02-20 09:34:06",NULL
"156","BLACK & WHITE 750ML","1120","1170","6","0","0","2022-10-02 12:24:52","26","2023-04-19 14:22:08","44"
"158","BEST WHISKEY 750ML","806","950","6","0","0","2022-10-02 12:26:05","26","2023-07-15 17:58:10","44"
"161","BEST GIN 750ML","721","770","6","0","0","2022-10-02 12:27:11","26","2023-11-30 18:25:38","44"
"162","BEST CREAM 750ML","883.5","1050","6","0","0","2022-10-02 12:27:29","26","2023-07-27 14:17:51","44"
"163","GENERAL MEAKENS 750ML","543.4","572","6","0","0","2022-10-02 12:27:53","26","2023-02-20 09:34:06","44"
"164","KK 750ML","437","460","6","0","0","2022-10-02 12:28:12","26","2023-02-20 09:34:06","44"
"165","NAPS 750ML","760","800","6","0","0","2022-10-02 12:28:28","26","2023-02-20 09:34:06",NULL
"172","KANE EXTRA 750ML","552","610","6","0","0","2022-10-02 12:31:04","26","2023-09-20 12:49:28","44"
"174","CAPTAIN MORGAN 750ML","942.23","1000","6","0","0","2022-10-02 12:31:45","26","2024-01-09 16:31:32","44"
"175","EMBASSY LIGHTS","298.3","314","8","0","0","2022-10-02 12:36:48","26","2023-02-20 09:34:06","44"
"176","SAFARI KINGS","161.5","170","8","0","0","2022-10-02 12:37:03","26","2023-02-20 09:34:06","44"
"177","RICHOT 250ML","416","440","4","0","0","2022-10-02 12:39:09","26","2023-09-08 16:09:29","44"
"178","HUNTERS 250ML","293","310","4","0","0","2022-10-02 12:39:27","26","2023-09-08 12:27:33","44"
"179","GILBEYS 250ML","410","435","4","0","0","2022-10-02 12:39:42","26","2023-09-07 18:19:04","44"
"180","V&A 250ML","291","310","4","0","0","2022-10-02 12:39:55","26","2024-01-12 19:32:32","44"
"182","BEST CREAM 250ML","349","370","4","0","0","2022-10-02 12:41:07","26","2023-08-22 15:50:42","44"
"183","BEST WHISKY 250ML","303","320","4","0","0","2022-10-02 12:41:26","26","2023-09-22 11:49:52","44"
"185","BEST GIN 250ML","268","280","4","0","0","2022-10-02 12:42:08","26","2024-04-18 15:48:49","44"
"187","GENERAL MEAKEANS 250ML","223","235","4","0","0","2022-10-02 12:42:47","26","2024-03-28 18:15:15","44"
"188","KK 250ML","212.5","230","4","0","0","2022-10-02 12:43:03","26","2023-12-02 15:26:52","44"
"189","NAPOLEON 250ML","228","240","4","0","0","2022-10-02 12:43:17","26","2024-07-09 21:08:30","44"
"191","CAPTAIN MORGAN 250ML","332","345","4","0","0","2022-10-02 12:44:13","26","2024-01-25 13:19:44","44"
"194","KIBAO 350ML","361","380","5","0","0","2022-10-02 12:54:58","26","2023-02-20 09:34:06","44"
"203","TUSKER MALT","185","205","1","0","0","2022-10-02 13:05:18","26","2024-06-16 15:21:57","44"
"204","TUSKER CIDER","212","230","1","0","0","2022-10-02 13:05:31","26","2024-05-29 20:23:15","11"
"206","COUNTY 250ML","231","240","4","0","0","2022-10-02 14:09:14","26","2024-01-17 19:27:40","44"
"207","BLACK & WHITE 250ML","400","435","4","0","0","2022-10-02 14:10:31","26","2024-07-07 18:00:21","44"
"208","CHROME VODKA 250ML","232","240","4","0","0","2022-10-02 14:29:41","26","2024-01-20 15:29:58","44"
"210","BLACK ICE BOTTLE","157.68","170","1","0","0","2023-02-18 18:14:23","44","2023-11-14 15:37:11","44"
"211","DROSTOFF WHITE 750ML","814","900","7","0","0","2023-02-18 18:23:23","44","2023-09-27 12:30:04","44"
"212","CELLAR CASK WHITE 750ML","896","980","7","0","0","2023-02-18 18:24:07","44","2023-09-27 12:30:41","44"
"213","TRIPPLE ACE 250ML","210","220","4","0","0","2023-02-18 18:32:28","44","2024-01-20 15:28:31","44"
"214","KANE EXTRA 250ML","208","215","4","0","0","2023-02-18 18:32:45","44","2024-01-20 15:54:10","44"
"216","SUPREME 250ML","196","215","4","0","0","2023-02-18 18:35:30","44","2023-08-10 13:10:00","44"
"217","CAPRICE DRY WHITE 1L","702","750","7","0","0","2023-02-18 18:41:29","44","2023-09-07 18:27:20","44"
"218","CAPRICE SWEET RED 1L","702","750","7","0","0","2023-02-18 18:42:09","44","2023-09-07 18:27:24","44"
"221","CAPRICE SWEET WHITE 1L","702","750","7","0","0","2023-02-18 18:55:56","44","2023-09-07 18:27:35","44"
"223","CHROME GIN 250ML","232","240","4","0","0","2023-02-18 19:19:20","44","2024-01-08 17:04:06","44"
"224","JAMESON 750ML","1900","1960","6","0","0","2023-03-24 15:46:06","44","2023-03-24 15:46:06",NULL
"225","BLACK LABEL 750ML","2777","3200","6","0","0","2023-03-24 15:46:40","44","2024-06-04 14:15:30","44"
"226","JACK DANIELS 750ML","2600","2800","6","0","0","2023-03-24 15:47:03","44","2023-03-24 15:47:03",NULL
"227","RED LABEL 750ML","1529","1600","6","0","0","2023-03-24 15:47:27","44","2023-04-19 14:30:07","44"
"228","ALL SEASONS 750ML","1000","1100","6","0","0","2023-03-24 15:48:23","44","2023-03-24 15:48:23",NULL
"229","FAMOUSE GROUSE 750ML","1700","1800","6","0","0","2023-03-24 15:49:13","44","2023-03-24 15:49:13",NULL
"230","BEST CREAM 350ML","360","400","5","0","0","2023-03-24 15:53:31","44","2023-03-24 15:54:13","44"
"231","BEST GIN 350ML","380","400","5","0","0","2023-03-24 15:53:54","44","2023-03-24 15:53:54",NULL
"232","BLACK LABEL 350ML","864","970","5","0","0","2023-03-24 15:54:34","44","2023-03-24 16:01:17","44"
"233","FAMOUS GROUSE 350ML","880","920","5","0","0","2023-03-24 15:54:52","44","2023-03-24 15:54:52",NULL
"234","GRANTS 350ML","680","720","5","0","0","2023-03-24 15:55:15","44","2023-03-24 15:55:15",NULL
"235","JACK DANIELS 350ML","1400","1450","5","0","0","2023-03-24 15:55:37","44","2023-03-24 15:55:37",NULL
"236","JAMESON 350ML","1000","1100","5","0","0","2023-03-24 15:55:50","44","2023-03-24 15:55:50",NULL
"237","RED LABEL 350ML","864","970","5","0","0","2023-03-24 15:56:03","44","2023-03-24 16:08:53","44"
"238","WILLIAM LAWSONS 350ML","800","850","5","0","0","2023-03-24 15:56:35","44","2023-03-24 15:57:58","44"
"239","WILLIAM LAWSONS 750ML","1300","1400","6","0","0","2023-03-24 15:57:28","44","2023-03-24 15:57:28",NULL
"241","BLUE ICE","125","165","4","0","0","2023-04-21 13:56:46","44","2024-01-02 13:48:09","44"
"242","DUNHILL DOUBLE","345","350","8","0","0","2023-04-27 13:54:25","44","2023-04-27 13:58:12","44"
"243","LIME 1.5","230","270","3","0","0","2023-05-17 18:06:53","11","2023-05-19 13:33:09","44"
"244","ALLSEASONS","490","520","5","0","0","2023-05-19 13:24:50","44","2023-05-19 13:24:50",NULL
"245","KINGFISHER","177.8","195","1","0","0","2023-09-06 12:23:42","44","2023-09-07 18:30:12","44"
"249","SAVANNA","241","251","1","0","0","2023-09-09 13:35:29","44","2024-01-25 18:21:17","44"
"250","FOUR COUSINS RED","785","850","7","0","0","2023-09-27 12:25:12","44","2023-09-27 12:25:12",NULL
"251","FOUR COUSINS WHITE","785","850","7","0","0","2023-09-27 12:27:18","44","2023-09-27 12:27:18",NULL
"252","KONYANGI","800","850","6","0","0","2023-11-17 14:42:29","44","2023-11-17 14:42:29",NULL
"259","KONYANGI","280","300","4","0","0","2023-11-20 10:58:51","44","2024-07-05 18:11:00","44"
"260","PINEAPPLE PUNCH","170","180","2","0","0","2024-02-15 10:56:51","44","2024-07-17 19:34:00","44"
"261","HEINKEN","258","275","1","0","0","2024-04-13 16:04:05","44","2024-04-13 16:04:05",NULL
"262","BLACK LABEL","1080","1200","4","0","0","2024-05-28 10:27:37","44","2024-05-30 16:59:33","44"
"263","GUINESS SMOOTH","167","177","1","0","0","2024-06-16 15:18:18","44","2024-06-16 15:18:18",NULL
